-76.9374689,38.8916049,"ATM : 751839852"
-76.9803741,38.8464429,"ATM : 751839856"
-76.9497066,38.8938142,"ATM : 751839860"
-77.0028637,38.8870902,"ATM : 751839870"
-76.9892567,38.8655491,"ATM : 751839874"
-77.0011389,38.8870309,"ATM : 751839878"
-76.9856851,38.8671399,"ATM : 751839881"
-76.9976459,38.8854467,"ATM : 751839884"
-76.9863555,38.883874,"ATM : 751839892"
-76.9795321,38.9006417,"ATM : 751839895"
-77.0052971,38.8766834,"ATM : 751839899"
-77.0073592,38.8299474,"ATM : 751839902"
-77.003942,38.876951,"ATM : 751839906"
-76.9977061,38.8856741,"ATM : 751839914"
-77.026254,38.9816854,"ATM : 751864711"
-76.9911078,38.9365821,"ATM : 751864714"
-77.0276289,38.9685919,"ATM : 751864718"
-76.9928527,38.9196991,"ATM : 751864721"
-77.0069527,38.9366292,"ATM : 751864726"
-76.9702666,38.9195834,"ATM : 751864741"
-77.0336435,38.9034764,"ATM : 751881204"
-77.039735,38.9040321,"ATM : 751881216"
-77.0212823,38.8995425,"ATM : 751881233"
-77.038203,38.902781,"ATM : 751881269"
-77.0342153,38.9039331,"ATM : 751881275"
-77.0221879,38.9000216,"ATM : 751881281"
-77.0322756,38.8980695,"ATM : 751881288"
-77.0384717,38.9004157,"ATM : 751881306"
-77.0205631,38.8932649,"ATM : 751881310"
-77.0221677,38.8941609,"ATM : 751881317"
-77.0330715,38.9029097,"ATM : 751881330"
-77.0210481,38.8996437,"ATM : 751881337"
-77.0284223,38.897184,"ATM : 751881345"
-77.0302655,38.8963305,"ATM : 751881352"
-77.037946,38.902781,"ATM : 751881358"
-77.0312977,38.9010067,"ATM : 751881370"
-77.0393367,38.9033116,"ATM : 751881374"
-77.0322737,38.8976865,"ATM : 751881380"
-77.0313718,38.8963674,"ATM : 751881387"
-77.0311017,38.9028025,"ATM : 751881395"
-77.0268072,38.8959612,"ATM : 751881400"
-77.032922,38.8993522,"ATM : 751881409"
-77.0381794,38.9022259,"ATM : 751881413"
-77.0332905,38.9019986,"ATM : 751881424"
-77.0378244,38.9022036,"ATM : 751881427"
-77.026488,38.895982,"ATM : 751881430"
-77.0380208,38.9008896,"ATM : 751881431"
-77.0293353,38.8963908,"ATM : 751881432"
-77.0306228,38.8981106,"ATM : 751881433"
